name,pos,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded,shots_on_target_against,goals_against,saves,save%
Dennis Hadzikadunic,CB,90,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Leon Barišić,CB,71,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Renato Gojković,DF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amar Dedić,RB,90,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0
Ibrahim Šehić,GK,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Vasilj,GK,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ibrahim Šehić,GK,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,20
Nikola Vasilj,GK,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristiano Ronaldo,FW,65,2,0,1,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Diogo Jota,"FW,MF",25,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Rafael Leão,AM,65,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
Pedro Neto,"FW,MF",25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
João Félix,DM,78,1,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vitinha,MF,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Danilo Pereira,DM,90,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0
Otávio,DM,84,0,1,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0
João Neves,MF,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes,DM,78,1,1,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
Rúben Neves,MF,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
João Cancelo,LB,90,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Gonçalo Inácio,CB,90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Rúben Dias,CB,90,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0
Diogo Dalot,RB,90,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Diogo Costa,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diogo Costa,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julien Hasler,FW,62,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Philipp Ospelt,FW,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Salanović,FW,89,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Marxer,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maximilian Göppel,LM,90,0,0,0,0,1,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0
Aron Sele,CM,76,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
Jens Hofer,DF,14,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Marcel Büchel,CM,90,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
Simon Lüchinger,CM,45,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Livio Meier,MF,45,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Niklas Beck,RM,63,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Liam Kranz,MF,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lars Traber,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sandro Wieser,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Andreas Malin,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Benjamin Büchel,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin Büchel,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,71
Gonçalo Ramos,FW,90,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
João Félix,AM,86,0,0,0,0,4,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
João Neves,MF,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristiano Ronaldo,AM,66,1,0,0,0,12,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bruma,"FW,MF",24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Diogo Jota,DM,90,0,1,0,0,0,0,1,0,1,2,0,2,2,0,0,0,0,0,0,0,0
Bruno Fernandes,DM,66,0,0,0,0,1,1,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0
Vitinha,MF,24,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Bernardo Silva,DM,59,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Ricardo Horta,"FW,MF",31,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
João Cancelo,DM,86,1,0,0,0,5,2,0,0,2,2,0,5,1,1,0,0,0,0,0,0,0
João Mário Lopes,DF,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Toti Gomes,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Rúben Neves,CB,90,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
António Silva,CB,90,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
José Sá,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Sá,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,100
João Félix,FW,86,0,0,0,0,3,3,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0
Bruma,"FW,MF",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristiano Ronaldo,FW,90,0,1,0,0,7,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Bernardo Silva,FW,61,0,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
Ricardo Horta,"FW,MF",29,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes,CM,90,1,0,0,0,3,1,0,0,1,1,0,14,0,0,0,0,0,0,0,0,0
João Palhinha,CM,90,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
Otávio,CM,74,0,0,0,0,0,0,0,0,2,2,0,1,2,1,0,0,0,0,0,0,0
Vitinha,MF,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
João Cancelo,LB,86,0,0,0,0,3,2,0,0,1,1,0,3,1,2,0,0,0,0,0,0,0
João Neves,MF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonçalo Inácio,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rúben Dias,CB,90,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
João Mário Lopes,RB,62,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
Raphaël Guerreiro,"DF,MF",28,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
Diogo Costa,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diogo Costa,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,100
Alfreð Finnbogason,FW,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Orri Steinn Óskarsson,FW,45,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willum Þór Willumsson,FW,61,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Mikael Ellertsson,MF,29,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Jón Dagur Þorsteinsson,FW,61,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Andri Lucas Guðjohnsen,FW,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnór Sigurðsson,CM,90,0,0,0,0,2,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
Jóhann Berg Guðmundsson,CM,90,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ísak Jóhannesson,CM,61,0,0,0,0,2,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0
Arnór Ingvi Traustason,"FW,MF",29,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Guðmundur Þórarinsson,LB,90,0,0,0,0,0,0,0,0,3,0,0,2,1,3,0,0,0,0,0,0,0
Hjörtur Hermannsson,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Sverrir Ingi Ingason,CB,90,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0
Victor Pálsson,RB,90,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Hákon Rafn Valdimarsson,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hákon Rafn Valdimarsson,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,9,81
Rasmus Højlund,FW,90,3,0,0,0,7,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Martin Braithwaite,FW,76,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Jonas Wind,"FW,MF",14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mikkel Damsgaard,AM,64,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
Mohammed Daramy,"FW,MF",26,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Mathias Jensen,DM,76,0,0,0,0,2,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0
Philip Billing,MF,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Nørgaard,DM,90,0,0,0,0,1,1,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0
Pierre Højbjerg,DM,90,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0,0,0,0,0,0,0
Joakim Mæhle,LB,64,0,0,0,0,2,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Jens Stryger Larsen,"DF,MF",26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Christensen,CB,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Victor Nelsson,"DF,MF",73,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Simon Kjær,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Alexander Bah,RB,90,0,1,0,0,0,0,0,0,1,2,0,5,2,1,0,0,0,0,0,0,0
Kasper Schmeichel,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasper Schmeichel,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50
Teemu Pukki,FW,90,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Joel Pohjanpalo,FW,90,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Oliver Antman,LM,71,1,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Anssi Tapio Suhonen,MF,19,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Glen Kamara,CM,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Kaan Kairinen,CM,90,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Robin Lod,RM,73,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Marcus Forss,"FW,MF",17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Richard Jensen,LB,73,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
Tuomas Ollila,DF,17,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0
Robert Ivanov,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Leo Väisänen,CB,90,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0
Nikolai Alho,RB,90,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
Lukáš Hrádecký,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukáš Hrádecký,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,8,72
Ermedin Demirović,FW,81,0,0,0,0,3,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
Nemanja Bilbija,FW,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Smail Prevljak,FW,66,0,0,0,0,3,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0
Kenan Kodro,FW,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jusuf Gazibegović,LM,90,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
Rade Krunić,CM,90,2,0,0,0,2,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0
Benjamin Tahirovic,CM,81,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
Gojko Cimirot,MF,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Amir Hadžiahmetović,CM,70,0,1,0,0,0,0,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0
Sanjin Prcić,MF,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amar Dedić,RM,70,1,0,0,0,1,1,1,0,0,0,0,5,1,2,0,0,0,0,0,0,0
Dennis Hadzikadunic,DF,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siniša Saničanin,CB,90,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
Hrvoje Miličević,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anel Ahmedhodžić,CB,90,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Ibrahim Šehić,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahim Šehić,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,100
Alfreð Finnbogason,FW,82,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Andri Lucas Guðjohnsen,FW,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Jón Dagur Þorsteinsson,LW,66,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Mikael Ellertsson,MF,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hákon Arnar Haraldsson,AM,90,0,0,0,0,2,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0
Jóhann Berg Guðmundsson,AM,90,0,0,0,0,3,1,1,0,1,3,0,9,0,0,0,0,0,0,0,0,0
Arnór Sigurðsson,RW,66,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
Mikael Anderson,"FW,MF",24,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0
Arnór Ingvi Traustason,DM,82,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0
Stefán Þórðarson,MF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davíð Ólafsson,LB,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Hörður Magnússon,CB,90,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Daníel Leó Grétarsson,CB,90,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
Victor Pálsson,RB,90,0,0,0,0,1,1,1,0,1,0,0,2,2,1,0,0,0,0,0,0,0
Rúnar Alex Rúnarsson,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rúnar Alex Rúnarsson,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,57
Lorenzo Pellegrini,FW,68,0,1,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0
Wilfried Gnonto,"FW,MF",22,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
Mateo Retegui,FW,90,1,0,0,0,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Domenico Berardi,FW,61,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Matteo Politano,"FW,MF",29,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Marco Verratti,CM,87,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0
Gianluca Scamacca,FW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorginho,CM,68,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Sandro Tonali,MF,22,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
Nicolò Barella,CM,61,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Bryan Cristante,"DF,MF",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonardo Spinazzola,LB,90,0,0,0,0,1,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0
Francesco Acerbi,CB,90,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0
Rafael Tolói,CB,90,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,0,0,0,0
Giovanni Di Lorenzo,RB,90,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Gianluigi Donnarumma,GK,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gianluigi Donnarumma,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,66
Jack Grealish,FW,68,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Phil Foden,"FW,MF",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Trippier,"DF,MF",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Kane,FW,90,1,0,1,1,2,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0
Bukayo Saka,FW,84,0,0,0,0,1,1,0,0,0,2,0,4,1,1,0,0,0,0,0,0,0
Reece James,"DF,MF",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jude Bellingham,CM,84,0,0,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
Conor Gallagher,MF,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Declan Rice,CM,90,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Kalvin Phillips,CM,90,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Luke Shaw,LB,79,0,0,0,0,0,0,2,1,1,0,0,4,2,0,0,0,0,0,0,0,0
Harry Maguire,CB,90,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
John Stones,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Walker,RB,90,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Jordan Pickford,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Pickford,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Nicola Nanni,FW,84,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0
Matteo Vitaioli,FW,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Filippo Berardi,FW,59,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Danilo Rinaldi,"FW,MF",31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Lazzari,CM,90,0,0,0,0,2,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
Lorenzo Capicchioni,CM,71,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0
Michael Battistini,MF,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Golinucci,CM,90,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0
Mirko Palazzi,LB,45,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Alessandro Tosi,DF,45,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0
Dante Rossi,CB,45,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0
Michele Cevoli,DF,45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Roberto Di Maio,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Filippo Fabbri,CB,90,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0
Manuel Battistini,RB,90,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,0
Elia Benedettini,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elia Benedettini,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,50
Conor Washington,FW,66,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Josh Magennis,"DF,FW",24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dion Charles,FW,90,2,0,0,0,4,2,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0
Jamal Lewis,LM,72,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
Shane Ferguson,"DF,MF",18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
George Saville,CM,72,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
Jordan Thompson,MF,18,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Shea Charles,CM,90,0,0,0,0,0,0,0,0,1,5,0,1,4,1,0,0,0,0,0,0,0
Paddy McNair,CM,90,0,0,0,0,1,1,0,0,0,1,0,12,1,1,0,0,0,0,0,0,0
Conor Bradley,RM,90,0,0,0,0,4,1,0,0,2,0,0,2,4,1,0,0,0,0,0,0,0
Ciaron Brown,CB,81,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0
Isaac Price,MF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Cathcart,CB,90,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Daniel Ballard,CB,66,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Cameron McGeehan,MF,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bailey Peacock-Farrell,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bailey Peacock-Farrell,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,100
Lukáš Haraslín,FW,90,0,0,0,0,2,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0
Róbert Polievka,FW,72,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Róbert Boženík,FW,18,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
Tomáš Suslov,FW,72,0,0,0,0,3,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0
Róbert Mak,"FW,MF",18,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Ondrej Duda,CM,79,0,0,0,0,2,1,0,0,2,4,0,0,1,1,0,0,0,0,0,0,0
László Bénes,MF,11,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0
Stanislav Lobotka,CM,90,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0
Juraj Kucka,CM,90,0,0,0,0,2,0,0,0,3,3,0,1,2,0,0,0,0,0,0,0,0
Dávid Hancko,LB,90,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,0,0,0,0,0,0
Ľubomír Šatka,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Norbert Gyömbér,CB,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Pekarík,RB,81,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0
Michal Tomič,MF,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Martin Dúbravka,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Dúbravka,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,100
Gerson Rodrigues,FW,90,0,0,0,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
Mathias Olesen,FW,63,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Vincent Thill,MF,27,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
